id,title,r_bubbles,r_number,cook_type,expensive
2870,2871. Caffè Egeo,"Punteggio 4,0 su 5",57 recensioni,"Americana, Italiana",€€ - €€€
2871,2872. Cose buone,"Punteggio 4,0 su 5",41 recensioni,"Italiana, Pizza",€
2872,2873. Stelline Caffè&Gourmandises,"Punteggio 4,0 su 5",47 recensioni,"Pizza, Italiana",€€ - €€€
2873,2874. Osteria del Mare L. Cantoni,"Punteggio 4,0 su 5",50 recensioni,"Mediterranea, Italiana",€€ - €€€
2874,2875. La Padelletta,"Punteggio 4,0 su 5",45 recensioni,"Italiana, Pizza",€
2875,2876. Sapo Ré,"Punteggio 3,5 su 5",127 recensioni,"Italiana, Pizza",€€ - €€€
2876,2877. My Heart Gluten Free,"Punteggio 5,0 su 5",9 recensioni,?,?
2877,2878. Green Sushi,"Punteggio 4,0 su 5",118 recensioni,"Cinese, Giapponese",€€ - €€€
2878,2879. Don Luigi,"Punteggio 4,5 su 5",18 recensioni,"Italiana, Siciliana",€€ - €€€
2879,2880. NIMA Sushi (Milano - Corso Sempione),"Punteggio 3,5 su 5",267 recensioni,"Giapponese, Sushi",€€€€
2880,2881. Cagiada - Laghetto,"Punteggio 4,5 su 5",10 recensioni,"Italiana, Pizza",?
2881,2882. La Forgiatura Bistró,"Punteggio 4,0 su 5",48 recensioni,"Italiana, Pizza",€€ - €€€
2882,2883. Latin Note,"Punteggio 4,0 su 5",57 recensioni,"Internazionale, Italiana",€€ - €€€
2883,2884. Trattoria Casottel,"Punteggio 3,5 su 5",386 recensioni,"Italiana, Lombarda",€€ - €€€
2884,2885. Square food cafè,"Punteggio 4,0 su 5",26 recensioni,"Italiana, Caffè",€
2885,2886. Magnaki Arena,"Punteggio 3,5 su 5",66 recensioni,"Sushi, Italiana",€€ - €€€
2886,2887. Il Monello,"Punteggio 4,5 su 5",24 recensioni,Italiana,€
2887,2888. Bubu Fiaschetteria Toscana,"Punteggio 4,5 su 5",26 recensioni,"Italiana, Wine Bar",€
2888,2889. Ristorante Hotel Milano Scala,"Punteggio 4,0 su 5",112 recensioni,Italiana,€€ - €€€
2889,2890. Il Carminio,"Punteggio 4,0 su 5",20 recensioni,"Italiana, Mediterranea",€€ - €€€
2890,2891. Trattoria A Casa Nostra,"Punteggio 3,5 su 5",81 recensioni,"Italiana, Lombarda",€
2891,2892. Ciciarà,"Punteggio 4,0 su 5",40 recensioni,Italiana,€€ - €€€
2892,2893. Cigno nero,"Punteggio 4,0 su 5",41 recensioni,"Caffè, Italiana",€€ - €€€
2893,2894. Metropolis,"Punteggio 4,0 su 5",50 recensioni,"Italiana, Pizza",€
2894,2895. THUN Caffé,"Punteggio 4,0 su 5",100 recensioni,"Italiana, Caffè",€€ - €€€
2895,2896. Frank Pummarola,"Punteggio 3,5 su 5",180 recensioni,"Italiana, Pizza",€€ - €€€
2896,2897. Panino Giusto Stazione Centrale,"Punteggio 3,5 su 5",381 recensioni,"Caffè, Fast food",€€ - €€€
2897,2898. Melabevo,"Punteggio 4,5 su 5",28 recensioni,"Italiana, Wine Bar",€€ - €€€
2898,2899. Cunza,"Punteggio 4,5 su 5",18 recensioni,"Italiana, Emiliana",€€ - €€€
2899,2900. TA-TTÀ LA POLPETTERIA,"Punteggio 4,0 su 5",28 recensioni,"Italiana, Fast food",€
2900,2901. Tap,"Punteggio 4,0 su 5",50 recensioni,"Italiana, Americana",€
2901,2902. Procacci Milano,"Punteggio 4,0 su 5",78 recensioni,"Italiana, Mediterranea",€€ - €€€
2902,2903. Felix,"Punteggio 4,0 su 5",52 recensioni,"Caffè, Bar",€€ - €€€
2903,2904. Solo pizza - Via Friuli,"Punteggio 4,0 su 5",24 recensioni,"Italiana, Pizza",€€ - €€€
2904,2905. Pizzeria Ennio,"Punteggio 4,5 su 5",27 recensioni,"Pizza, Italiana",€
2905,2906. Iron Birds,"Punteggio 4,0 su 5",24 recensioni,"Italiana, Bar",?
2906,2907. Mêvan Ke-Pub,"Punteggio 5,0 su 5",9 recensioni,"Italiana, Bar",€
2907,2908. Il Casolino,"Punteggio 4,5 su 5",19 recensioni,Italiana,€€ - €€€
2908,2909. Light Sushi Restaurant,"Punteggio 4,0 su 5",29 recensioni,?,?
2909,2910. Ristorante Marlin Milano,"Punteggio 4,0 su 5",36 recensioni,"Italiana, Pizza",€€ - €€€
2910,2911. Hotel Tocq,"Punteggio 4,0 su 5",69 recensioni,Internazionale,€€ - €€€
2911,2912. Cambiopizza,"Punteggio 4,5 su 5",23 recensioni,"Pizza, Italiana",?
2912,2913. Caffé Carducci,"Punteggio 4,0 su 5",55 recensioni,"Bar, Caffè",€
2913,"2914. Ristorante-Pizzeria ""I 2 Fratelli""","Punteggio 4,0 su 5",65 recensioni,"Italiana, Pizza",€
2914,2915. Gustavo,"Punteggio 4,0 su 5",58 recensioni,"Mediterranea, Contemporanea",€€ - €€€
2915,2916. Pizzeria Ristorante La Tellina,"Punteggio 4,0 su 5",70 recensioni,"Italiana, Pizza",€
2916,2917. La Cascata,"Punteggio 3,5 su 5",66 recensioni,"Italiana, Cinese",€
2917,2918. Flor | born to be wine,"Punteggio 4,5 su 5",13 recensioni,"Italiana, Wine Bar",€€ - €€€
2918,2919. Tiki Poke,"Punteggio 4,5 su 5",12 recensioni,Hawaiana,€€ - €€€
2919,2920. Penelope a Casa,"Punteggio 3,5 su 5",484 recensioni,"Italiana, Mediterranea",€€ - €€€
2920,2921. Vista Duomo - Restaurant & Lounge Bar,"Punteggio 3,5 su 5",61 recensioni,Italiana,€€€€
2921,2922. Strapanini & Vini,"Punteggio 5,0 su 5",8 recensioni,"Siciliana, Italiana (sud)",?
2922,2923. L'isola della Birra,"Punteggio 3,5 su 5",128 recensioni,"Bar, Pub",€
2923,2924. Lissana Milano,"Punteggio 4,0 su 5",99 recensioni,"Italiana, Pizza",€€ - €€€
2924,2925. Villa Gualdina,"Punteggio 3,5 su 5",106 recensioni,"Italiana, Pizza",€€ - €€€
2925,2926. Pronto Pizza,"Punteggio 5,0 su 5",11 recensioni,"Pizza, Italiana",?
2926,2927. Tricco,"Punteggio 4,5 su 5",12 recensioni,"Italiana, Pizza",€
2927,2928. South Garage Bistrot,"Punteggio 4,5 su 5",12 recensioni,"Italiana, Internazionale",€€€€
2928,2929. Rosmarino Gastronomia Naturale e Vegana,"Punteggio 3,5 su 5",114 recensioni,Italiana,€
2929,2930. Ristorante il gabbiano,"Punteggio 3,5 su 5",188 recensioni,"Italiana, Pizza",€€ - €€€
2930,2931. Fierro Food,"Punteggio 5,0 su 5",10 recensioni,"Italiana, Americana",?
2931,2932. Ristorante Ranch Roberta,"Punteggio 3,5 su 5",261 recensioni,"Italiana, Pizza",€€ - €€€
2932,2933. Toasteria Italiana,"Punteggio 4,0 su 5",67 recensioni,"Italiana, Fast food",€€ - €€€
2933,2934. Pizzeria Trattoria AL Bronzetti,"Punteggio 3,5 su 5",160 recensioni,"Italiana, Pizza",€
2934,2935. Piada Gallery Caffé,"Punteggio 4,0 su 5",41 recensioni,Italiana,€
2935,2936. Al Pizzino,"Punteggio 4,0 su 5",36 recensioni,"Italiana, Pizza",€
2936,2937. Convito,"Punteggio 4,0 su 5",65 recensioni,"Italiana, Bar",€€ - €€€
2937,2938. Fermati Qui,"Punteggio 3,5 su 5",129 recensioni,"Italiana, Pizza",€
2938,2939. Cookingarage Bistrot,"Punteggio 5,0 su 5",14 recensioni,Italiana,€
2939,2940. Un Mare di Bontà,"Punteggio 4,5 su 5",34 recensioni,Italiana,€
2940,2941. Il Diamante del Mare,"Punteggio 5,0 su 5",9 recensioni,?,?
2941,2942. Vòce Aimo e Nadia,"Punteggio 3,5 su 5",276 recensioni,"Italiana, Mediterranea",€€€€
2942,2943. Cucca - Cucina e Caffe,"Punteggio 4,0 su 5",90 recensioni,"Italiana, Contemporanea",€€ - €€€
2943,2944. Quartieri Spagnoli Milano,"Punteggio 4,5 su 5",14 recensioni,?,?
2944,2945. Bul,"Punteggio 4,0 su 5",33 recensioni,"Italiana, Salutistica",€€ - €€€
2945,2946. Bar Trattoria Nova,"Punteggio 4,0 su 5",28 recensioni,Italiana,€
2946,2947. Il Basilico Fresco,"Punteggio 4,0 su 5",34 recensioni,"Pizza, Italiana",€€ - €€€
2947,2948. Magma Milano,"Punteggio 4,0 su 5",22 recensioni,"Italiana, Pizza",?
2948,2949. Bar Tender,"Punteggio 3,5 su 5",122 recensioni,"Italiana, Europea",€
2949,2950. Time Out Isola,"Punteggio 3,5 su 5",54 recensioni,"Italiana, Pizza",€€ - €€€
2950,2951. Au Vieux Strasbourg,"Punteggio 3,5 su 5",207 recensioni,"Italiana, Bar",€
2951,2952. Miss Sixty Cafe,"Punteggio 3,5 su 5",72 recensioni,"Italiana, Bar",€€ - €€€
2952,2953. Tramezzineria,"Punteggio 4,0 su 5",44 recensioni,Italiana,€
2953,2954. Boom Milano,"Punteggio 4,0 su 5",105 recensioni,"Bar, Pub",€
2954,2955. Ponte Milvio Gastronomia,"Punteggio 5,0 su 5",8 recensioni,"Italiana, Romana",?
2955,2956. Rosticceria Cinese Fiume D'argento,"Punteggio 4,0 su 5",26 recensioni,"Cinese, Asiatica",€
2956,2957. Pokéria by NIMA (Milano - XXV Aprile),"Punteggio 4,5 su 5",16 recensioni,"Fast food, Hawaiana",€€ - €€€
2957,2958. Caffè Picchio,"Punteggio 4,0 su 5",81 recensioni,Bar,€
2958,2959. La Botte,"Punteggio 4,0 su 5",51 recensioni,"Italiana, Pizza",€€ - €€€
2959,2960. Ravioleria Hui Hui,"Punteggio 4,0 su 5",17 recensioni,Cinese,€€ - €€€
