trip,similar
 Antica Trattoria Ambrosiana,"[{'score': 100, 'google': 'Antica Trattoria Ambrosiana', 'formatted_google': 'anticatrattoriaambrosiana'}]"
 Antica Trattoria Lampugnano,"[{'score': 100, 'google': 'Antica Trattoria Lampugnano', 'formatted_google': 'anticatrattorialampugnano'}]"
 Anima Ristorante,"[{'score': 84, 'google': 'Armani/Ristorante', 'formatted_google': 'armaniristorante'}, {'score': 86, 'google': 'Max Ristorante', 'formatted_google': 'maxristorante'}, {'score': 81, 'google': 'Panghea Ristorante', 'formatted_google': 'panghearistorante'}, {'score': 80, 'google': 'Ristorante', 'formatted_google': 'ristorante'}]"
 Antica Trattoria Monlue,"[{'score': 100, 'google': 'Antica Trattoria Monlue', 'formatted_google': 'anticatrattoriamonlue'}]"
 Antica Trattoria della Pesa,"[{'score': 100, 'google': 'Antica Trattoria della Pesa', 'formatted_google': 'anticatrattoriadellapesa'}]"
 Antica Trattoria Salutati,"[{'score': 100, 'google': 'Antica Trattoria Salutati', 'formatted_google': 'anticatrattoriasalutati'}]"
 Antica Forneria 1901,[]
 Antichi Sapori,"[{'score': 100, 'google': 'Antichi Sapori', 'formatted_google': 'antichisapori'}]"
 Antichi Sapori,"[{'score': 100, 'google': 'Antichi Sapori', 'formatted_google': 'antichisapori'}]"
 Antares Self Restaurant e Cafe,[]
 Anyma Gastronomia Bistrot,"[{'score': 100, 'google': 'ANYMA GASTRONOMIA BISTROT', 'formatted_google': 'anymagastronomiabistrot'}]"
 Antica Mameli,[]
