Unnamed: 0,title,r_bubbles,r_number,cook_type,expensive
248, Bomaki Porta Romana,"Punteggio 4,5 su 5",592 recensioni,"Giapponese, Sushi",2.5
249, Barmare,"Punteggio 4,5 su 5",591 recensioni,"Italiana, Pesce",2.5
250, Maison Bretonne,"Punteggio 4,5 su 5",357 recensioni,Francese,2.5
251, Montecristo,"Punteggio 4,5 su 5",529 recensioni,"Italiana, Pesce",€€€€
252, Gallura,"Punteggio 4,5 su 5",961 recensioni,"Italiana, Pesce",2.5
253, L'ALCHIMIA Ristorante & Lounge Bar,"Punteggio 4,5 su 5",446 recensioni,"Italiana, Pesce",€€€€
254, Hana Restaurant,"Punteggio 4,5 su 5",1.243 recensioni,"Giapponese, Pesce",2.5
255, Ristorante Orientale Hong Kong Crossover,"Punteggio 4,5 su 5",380 recensioni,"Giapponese, Cinese",2.5
257, Osteria Del Borgo Antico,"Punteggio 4,5 su 5",458 recensioni,"Italiana, Pesce",2.5
258, Osteria Conchetta,"Punteggio 4,5 su 5",1.701 recensioni,"Italiana, Mediterranea",2.5
259, Hegui Taste of Asia,"Punteggio 4,5 su 5",595 recensioni,"Cinese, Giapponese",1
260, Pasto Laboratorio di Pasta Con Cucina,"Punteggio 4,5 su 5",113 recensioni,"Italiana, Mediterranea",2.5
261, Guyot,"Punteggio 4,5 su 5",640 recensioni,"Italiana, Mediterranea",2.5
263, Trotter,"Punteggio 4,0 su 5",1.751 recensioni,"Italiana, Pizza",2.5
264, Mandarin 2,"Punteggio 4,5 su 5",1.045 recensioni,"Cinese, Pesce",2.5
265, Grigliamania,"Punteggio 4,5 su 5",604 recensioni,"Italiana, Steakhouse",2.5
266, Noi Pesce,"Punteggio 4,5 su 5",482 recensioni,"Italiana, Asiatica",2.5
267, Ristorante Vento di Sardegna,"Punteggio 4,5 su 5",891 recensioni,"Italiana, Pesce",2.5
268, Platina,"Punteggio 4,5 su 5",1.480 recensioni,"Italiana, Mediterranea",2.5
269, Osteria La Cala,"Punteggio 4,5 su 5",702 recensioni,"Italiana, Pesce",2.5
270, Al Paradiso della Pizza,"Punteggio 4,5 su 5",546 recensioni,"Italiana, Pizza",1
271, Ai Giardini Paprika & Cannella,"Punteggio 4,5 su 5",466 recensioni,"Italiana, Pesce",2.5
272, La Fattoria,"Punteggio 4,5 su 5",349 recensioni,"Italiana, Pesce",2.5
273, VIVA Viviana Varese Ristorante,"Punteggio 4,5 su 5",1.609 recensioni,"Italiana, Pesce",€€€€
274, Locanda alla Scala,"Punteggio 4,5 su 5",304 recensioni,"Italiana, Mediterranea",2.5
275, Il Panzerotto,"Punteggio 4,5 su 5",705 recensioni,"Italiana, Fast food",1
276, Johnny Take Ue',"Punteggio 4,5 su 5",313 recensioni,"Italiana, Pizza",2.5
277, Piano- Pida · Anolén,"Punteggio 4,5 su 5",171 recensioni,"Italiana, Emiliana",2.5
278, Armani/Ristorante,"Punteggio 4,5 su 5",594 recensioni,"Italiana, Pesce",€€€€
279, Ristorante Ruris Experience,"Punteggio 4,5 su 5",323 recensioni,"Italiana, Pesce",2.5
280, Kisen Mora,"Punteggio 4,5 su 5",543 recensioni,"Giapponese, Pesce",2.5
281, Ombra,"Punteggio 4,5 su 5",184 recensioni,"Grill, Pesce",2.5
282, Hosteria Stoppani,"Punteggio 4,5 su 5",111 recensioni,"Italiana, Mediterranea",2.5
283, Pepe Nero,"Punteggio 4,5 su 5",937 recensioni,"Italiana, Pizza",1
284, Mamajuana Restaurante,"Punteggio 4,5 su 5",441 recensioni,"Caraibica, Latino americana",1
285, Il Mannarino - De Angeli,"Punteggio 4,5 su 5",875 recensioni,"Italiana (sud), Steakhouse",2.5
286, Noodle House,"Punteggio 4,5 su 5",418 recensioni,"Pesce, Asiatica",1
287, Ristorante Santa Virginia,"Punteggio 4,5 su 5",220 recensioni,"Italiana, Pesce",2.5
289, San Glicerio Uno,"Punteggio 4,5 su 5",573 recensioni,"Pesce, Mediterranea",2.5
290, Sette Cucina Urbana,"Punteggio 4,5 su 5",421 recensioni,"Italiana, Pesce",2.5
