title,address_trip,new_column_merged,address_clean_merged,Index,new_column_google,price_level_google,rating_google,total_reviews_google,address,address_clean_google
,,,,6099,GROUSE,1.0,4.5,179.0,"Viale Monte Nero, 34, Milano","viale monte nero, 34, milano"
,,,,6100,Yapa,,4.6,244.0,"Viale Monte Nero, 34, Milano","viale monte nero, 34, milano"
,,,,6101,Punjab,,4.7,3.0,"Viale Monte Nero, 25, Milano","viale monte nero, 25, milano"
,,,,6102,Tel Chi,2.0,4.2,324.0,"Via Silio Italico, 1, Milano","via silio italico, 1, milano"
,,,,6104,Al Chiosco Pandy E Mucca,2.0,4.5,225.0,"angolo, Piazzale Libia, Viale Lazio, Milano","angolo, piazzale libia, viale lazio, milano"
,,,,6108,Les Rouges Cucina & Cocktails,,4.5,97.0,"Via Gerolamo Tiraboschi, 15, Milano","via gerolamo tiraboschi, 15, milano"
,,,,6109,Non perdiamoci di vista - Caffè & Bistrò,,3.7,13.0,"Via Emilio Morosini, 51/1, Milano","via emilio morosini, 51/1, milano"
,,,,6110,La TrattOsteria De Milan,2.0,4.3,369.0,"Via Emilio Morosini, 51, Milano","via emilio morosini, 51, milano"
,,,,6111,PizzaMare,,5.0,2.0,"Via Bergamo, 22, Milano","via bergamo, 22, milano"
,,,,6112,Pizza Vera,,4.3,15.0,"Via Silio Italico n 1, Via Bergamo, 22, Milano","via silio italico n 1, via bergamo, 22, milano"
,,,,6113,Particolare Milano,,4.5,419.0,"Via Gerolamo Tiraboschi, 5, Milano","via gerolamo tiraboschi, 5, milano"
,,,,6118,Milanesi Gelaterie Artigianali,2.0,4.0,707.0,"Via Cadore, 45, Milano","via cadore, 45, milano"
,,,,6119,Rosticceria Leoncino,,4.4,49.0,"Via Bergamo, 12/a, Milano","via bergamo, 12/a, milano"
,,,,6120,Ravioli Bao,,5.0,22.0,"Via Bergamo, 12, Milano","via bergamo, 12, milano"
,,,,6121,Pizzeria Cadore,1.0,4.3,189.0,"Via Cadore, 48, Milano","via cadore, 48, milano"
,,,,6125,باريس,,,,"Via Lucano, 2, Milano","via lucano, 2, milano"
,,,,6126,La taquerìa Comelico | Mexican street food |,,4.7,3.0,"Via Comelico, 13, Milano","via comelico, 13, milano"
,,,,6127,Casa Bonita,,5.0,4.0,"Via Comelico, 13, Milano","via comelico, 13, milano"
,,,,6129,Le Tentazioni di Tano,2.0,3.6,191.0,"Via Friuli, 46, Milano","via friuli, 46, milano"
,,,,6130,Mon Bistrot Milano,,4.4,32.0,"Via Cadore, 43, Milano","via cadore, 43, milano"
,,,,6135,NaBi,2.0,4.4,719.0,"Via Cadore, 41, Milano","via cadore, 41, milano"
,,,,6141,Nigutín,2.0,4.5,58.0,"Via Cadore, 37, Milano","via cadore, 37, milano"
,,,,6149,Babouche,2.0,4.3,422.0,"Via Maestri Campionesi, 16, Milano","via maestri campionesi, 16, milano"
,,,,6158,Ciccio Pizza,2.0,3.5,1235.0,"Viale Umbria, 64, Milano","viale umbria, 64, milano"
,,,,6169,Il Molo 1,1.0,4.1,663.0,"Via Laura Ciceri Visconti, 8, Milano","via laura ciceri visconti, 8, milano"
,,,,6170,Trattoria Masuelli San Marco,2.0,4.3,607.0,"Viale Umbria, 80, Milano","viale umbria, 80, milano"
,,,,6172,Sole Mare Pizza,1.0,4.4,121.0,"Via Gaetano Strigelli, 5, Milano","via gaetano strigelli, 5, milano"
,,,,6175,Awad Ahmed Mohamed,,5.0,1.0,"Via Scipione Pistrucci, 10, Milano","via scipione pistrucci, 10, milano"
,,,,6176,Maliss,,4.7,26.0,"Via Scipione Pistrucci, 12, Milano","via scipione pistrucci, 12, milano"
,,,,6178,Oca Allegra,,4.5,26.0,"Via Scipione Pistrucci, 10, Milano","via scipione pistrucci, 10, milano"
,,,,6179,LOCANDA DEGLI AMICI,,4.7,112.0,"Via Scipione Pistrucci, 4, Milano","via scipione pistrucci, 4, milano"
,,,,6180,Pizze e Focacce,,5.0,4.0,"Via Scipione Pistrucci, 11, Milano","via scipione pistrucci, 11, milano"
,,,,6189,Il Giorno,,,,Italy,italy
,,,,6197,Spontini,,3.4,97.0,"Piazzale Ferdinando Martini, 10, Milano","piazzale ferdinando martini, 10, milano"
,,,,6204,Petit Dejeuner Milano,,5.0,1.0,"Viale Molise, 49, Milano","viale molise, 49, milano"
,,,,6206,Bar Art,,4.0,5.0,"Viale Molise, 49, Milano","viale molise, 49, milano"
,,,,6207,L'Oste Italiano,,4.4,413.0,"Via Privata Ugo Tommei, 7, Milano","via privata ugo tommei, 7, milano"
,,,,6210,Ristorante Eritrea e Etiope Pizzeria Abissinia,,4.7,110.0,"Viale Molise, Milano","viale molise, milano"
,,,,6211,Fiumara Pietro,,3.0,2.0,"Via Calvairate, 1, Milano","via calvairate, 1, milano"
,,,,6214,Pizzeria Grigueria,,5.0,1.0,Italy,italy
,,,,6215,Kebap Molise,1.0,4.3,30.0,Italy,italy
,,,,6221,Kebab Molise,1.0,4.1,173.0,"Viale Molise, 51, Milano","viale molise, 51, milano"
,,,,6222,Trattoria del Nuovo Macello,2.0,4.3,863.0,"Via Cesare Lombroso, 20, Milano","via cesare lombroso, 20, milano"
